TradeDate,TraderId,TraderNm,strategymainnm,strategysubnm,IAccountId,iaccountnm,gaccountid,CommodityId,CommodityNm,TradeType,DataSource,OldCommodityId,CommodityKind,CurrencyId,ContractSize,ExerciseSize,CashDivAmt,Unit,IsTrade,IssuerId,PricingUnderlyingPrice,BuyShare,BuyAvgP,BuyAmt,SellShare,SellAvgP,SellAmt,InvShare,InvAvgP,Cost,MPrice,MV,UnRealPL,DRealPL,DUnRealPL,DTax,DSettleFee,DCommission,DStkBorrowFee,DInterestCost,DOtherIncome,DCashDiv,DTransferPL,DTradePL,DHTradePL,DBTradePL,MRealPL,MUnRealPL,MTax,MSettleFee,MCommission,MStkBorrowFee,MInterestCost,MOtherIncome,MCashDiv,MTransferPL,MTradePL,MHTradePL,MBTradePL,YRealPL,YUnRealPL,YTax,YSettleFee,YCommission,YStkBorrowFee,YInterestCost,YOtherIncome,YCashDiv,YTransferPL,YTradePL,YHTradePL,YBTradePL,AvailableShare,CashDivAdj,FxRate,FxUnderlyingRate,newIAccountId,NewContractSize,Forex,Strategy,size
2023-02-22,K44,眎丑,甅基畉ユ,甅基畉ユ,LHDF,LHDF,LHD_TW,0050,じ芖50,0,Stock,0050,ETF,NTD,1.0,1.0,0.0,1000,Y,,,0,0.0,0.0,0,0.0,0.0,20,120.95,2419.0,117.65,2353.0,-66.0,0.0,-26.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,-26.0,0.0,0.0,0.0,-13.0,0.0,0.0,0.0,0.0,1.83,0.0,0.0,0.0,-13.0,0.0,0.0,0.0,-66.0,0.0,0.0,0.0,0.0,4.77,0.0,52.0,0.0,201.0,0.0,0.0,0,201.0,1.0,1.0,LHD,1.0,1.0,,1.0
2023-02-22,K44,眎丑,甅基畉ユ,甅基畉ユ,LHDF,LHDF,LHD_TW,00631L,じ芖50タ2,0,Stock,00631L,ETF,NTD,1.0,2.0,0.0,1000,Y,,,0,0.0,0.0,0,0.0,0.0,9000,111.8555,1006699.9999999999,109.8,988200.0,-18500.0,0.0,-20250.0,0.0,0.0,0.0,0.0,34.48,0.0,0.0,0.0,-20250.0,0.0,0.0,0.0,-18500.0,0.0,57.5,0.0,0.0,418.11,0.0,0.0,0.0,-18500.0,0.0,0.0,0.0,-18500.0,0.0,57.5,0.0,0.0,418.11,0.0,0.0,0.0,-18500.0,0.0,0.0,0,-18500.0,1.0,1.0,LHD,1.0,1.0,,2.0
2023-02-22,K44,眎丑,甅基畉ユ,甅基畉ユ,LHDF,LHDF,LHD_TW,00632R,じ芖50は1,0,Stock,00632R,ETF,NTD,1.0,1.0,0.0,1000,Y,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-376430.0,323470.0,9583.0,2024.55,0.0,0.0,6632.85,0.0,0.0,0.0,-52960.0,0.0,0.0,-376430.0,0.0,9583.0,3203.13,0.0,0.0,126359.28,0.0,0.0,0.0,-536150.0,0.0,0.0,-376430,-545733.0,1.0,1.0,LHD,1.0,1.0,,-1.0
2023-02-22,K44,眎丑,甅基畉ユ,甅基畉ユ,LHDF,LHDF,LHD_TW,00663L,瓣籓芖舦タ2,0,Stock,00663L,ETF,NTD,1.0,2.0,0.0,1000,Y,,,0,0.0,0.0,0,0.0,0.0,173000,103.3031,17871450.0,101.5,17559500.0,-311950.0,0.0,-328700.0,0.0,0.0,0.0,0.0,612.04,0.0,0.0,0.0,-328700.0,0.0,0.0,0.0,-311950.0,0.0,1027.43,0.0,0.0,7073.62,0.0,0.0,0.0,-311950.0,0.0,0.0,0.0,-311950.0,0.0,1027.43,0.0,0.0,7073.62,0.0,0.0,0.0,-311950.0,0.0,0.0,0,-311950.0,1.0,1.0,LHD,1.0,1.0,,2.0
2023-02-22,K44,眎丑,甅基畉ユ,甅基畉ユ,LHDF,LHDF,LHD_TW,00664R,瓣籓芖舦は1,0,Stock,00664R,ETF,NTD,1.0,1.0,0.0,1000,Y,,,0,0.0,0.0,0,0.0,0.0,2152000,6.0704,13063580.0,6.11,13148720.0,85140.0,0.0,150640.0,0.0,0.0,0.0,0.0,447.38,0.0,0.0,0.0,150640.0,0.0,0.0,0.0,70950.0,0.0,1430.91,0.0,0.0,6570.38,0.0,0.0,0.0,70950.0,0.0,0.0,6810.0,85140.0,6625.0,3552.66,0.0,0.0,6853.53,0.0,0.0,0.0,91950.0,0.0,0.0,6810,85325.0,1.0,1.0,LHD,1.0,1.0,,-1.0
2023-02-22,K44,眎丑,甅基畉ユ,甅基畉ユ,LHDF,LHDF,LHD_TW,00675L,碔ü籓芖舦タ2,0,Stock,00675L,ETF,NTD,1.0,2.0,0.0,1000,Y,,,621000,43.86186795491143,27238220.0,398000,43.94577889447236,17490420.0,916000,44.3805,40652620.0,44.15,40441400.0,-211220.0,-168840.0,-294840.0,17476.0,2864.46,0.0,0.0,1392.21,0.0,0.0,0.0,-463680.0,0.0,0.0,-616790.0,-211220.0,84456.0,13428.15,0.0,0.0,18922.39,0.0,0.0,0.0,-828010.0,0.0,0.0,-616790.0,-211220.0,84456.0,13428.15,0.0,0.0,18922.39,0.0,0.0,0.0,-828010.0,0.0,0.0,-616790,-912466.0,1.0,1.0,LHD,1.0,1.0,,2.0
2023-02-22,K44,眎丑,甅基畉ユ,甅基畉ユ,LHDF,LHDF,LHD_TW,00685L,竤痲籓芖舦タ2,0,Stock,00685L,ETF,NTD,1.0,2.0,0.0,1000,Y,,,1000,38.76,38760.0,0,0.0,0.0,233000,40.1187,9347680.0,39.14,9119620.0,-228060.0,0.0,-166660.0,0.0,2.55,0.0,0.0,320.13,0.0,0.0,0.0,-166660.0,0.0,0.0,3550.0,-228060.0,159.0,629.32,0.0,0.0,4499.51,0.0,0.0,0.0,-224510.0,0.0,0.0,3550.0,-228060.0,159.0,629.32,0.0,0.0,4499.51,0.0,0.0,0.0,-224510.0,0.0,0.0,3550,-224669.0,1.0,1.0,LHD,1.0,1.0,,2.0
2023-02-22,K44,眎丑,甅基畉ユ,甅基畉ユ,LHDF,LHDF,LHD_TW,00686R,竤痲籓芖舦は1,0,Stock,00686R,ETF,NTD,1.0,1.0,0.0,1000,Y,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55110.0,-12000.0,5308.0,1117.27,0.0,0.0,3580.21,0.0,0.0,0.0,-67110.0,0.0,0.0,-55110.0,0.0,5308.0,2029.62,0.0,0.0,3812.39,0.0,0.0,0.0,-55110.0,0.0,0.0,-55110,-60418.0,1.0,1.0,LHD,1.0,1.0,,-1.0
2023-02-22,K44,眎丑,甅基畉ユ,甅基畉ユ,LHDU,LHDU,LHD_TW,0050,じ芖50,6,Stock,0050,ETF,NTD,1.0,1.0,0.0,1000,Y,,,0,0.0,0.0,0,0.0,0.0,-750000,107.31,-80485870.0,117.65,-88237500.0,-7751630.0,0.0,975000.0,0.0,0.0,0.0,1290.0,-2454.37,0.0,0.0,-2164130.0,975000.0,0.0,0.0,0.0,487500.0,0.0,0.0,0.0,28925.0,-56749.62,0.0,0.0,0.0,487500.0,0.0,0.0,0.0,-5587500.0,0.0,0.0,0.0,69544.0,-149470.08,0.0,-1950000.0,0.0,-7537500.0,0.0,0.0,0,0.0,1.0,1.0,LHD,1.0,1.0,,1.0
2023-02-22,K44,眎丑,甅基畉ユ,甅基畉ユ,LHDU,LHDU,LHD_TW,00632R,じ芖50は1,6,Stock,00632R,ETF,NTD,1.0,1.0,0.0,1000,Y,,,0,0.0,0.0,8166000,5.405108,44138120.0,-20756000,5.37,-111628020.0,5.41,-112289960.0,-661940.0,0.0,-795340.0,44063.0,6406.87,0.0,471.0,-3624.88,0.0,0.0,1140830.0,-795340.0,0.0,0.0,-84660.0,-642020.0,111300.0,16255.21,0.0,10322.0,-5205.1,0.0,0.0,0.0,-726680.0,0.0,0.0,1469640.0,-1802770.0,113987.0,16645.8,0.0,11497.0,-118287.32,0.0,0.0,0.0,-333130.0,0.0,0.0,0,0.0,1.0,1.0,LHD,1.0,1.0,,-1.0
