TDate,TTime,ETFID,NAVBid1,NAVAsk1,NAVTrade,MktBid1,MktAsk1,MktTrade,VolumeBid1,VolumeAsk1,VolumeTrade
2023-02-22,09:00:02.030000,00632R,5.4083,5.4095,5.4095,5.4,5.41,5.41,26914,2859,0
2023-02-22,09:00:02.030000,00878,16.9614,16.9978,16.9726,17.03,17.04,17.04,173,108,0
2023-02-22,09:00:07.043000,00632R,5.4087,5.4092,5.4089,5.4,5.41,5.41,41839,1292,9389
2023-02-22,09:00:07.043000,00878,16.9569,17.0002,16.9717,17.01,17.02,17.02,1,132,4943
2023-02-22,09:00:12.060000,00632R,5.4066,5.4076,5.4071,5.4,5.41,5.41,27439,1201,100
2023-02-22,09:00:12.060000,00878,16.9562,16.9996,16.9748,17.0,17.02,17.01,3287,129,28
2023-02-22,09:00:17.077000,00632R,5.4066,5.4074,5.4072,5.4,5.41,5.41,27439,1068,146
2023-02-22,09:00:17.077000,00878,16.9526,16.9976,16.9722,17.01,17.02,17.01,10,50,9
2023-02-22,09:00:22.077000,00632R,5.4064,5.4072,5.4072,5.4,5.41,5.41,27445,1018,111
2023-02-22,09:00:22.077000,00878,16.9521,16.9979,16.9751,17.01,17.02,17.02,32,67,11
2023-02-22,09:00:27.077000,00632R,5.4082,5.4087,5.4082,5.4,5.41,5.41,41932,168,975
2023-02-22,09:00:27.077000,00878,16.9511,16.9998,16.972,17.01,17.02,17.02,70,259,8
2023-02-22,09:00:32.077000,00632R,5.407,5.4081,5.4075,5.4,5.41,5.41,41894,101,87
2023-02-22,09:00:32.077000,00878,16.9497,16.9964,16.9692,17.01,17.02,17.02,139,609,28
2023-02-22,09:00:37.077000,00632R,5.4067,5.4074,5.4072,5.41,5.42,5.41,5,19894,151
2023-02-22,09:00:37.077000,00878,16.9517,16.9925,16.9687,17.01,17.02,17.02,196,655,14
2023-02-22,09:00:42.090000,00632R,5.4061,5.4066,5.4066,5.4,5.41,5.41,27944,589,285
2023-02-22,09:00:42.090000,00878,16.949,16.9902,16.9644,17.01,17.02,17.02,260,640,15
2023-02-22,09:00:47.090000,00632R,5.4064,5.4069,5.4066,5.41,5.42,5.4,1,19988,453
2023-02-22,09:00:47.090000,00878,16.9502,16.9882,16.9622,17.01,17.02,17.02,343,600,100
2023-02-22,09:00:52.107000,00632R,5.4067,5.4072,5.4072,5.41,5.42,5.41,564,20002,68
2023-02-22,09:00:52.107000,00878,16.9502,16.9896,16.9613,17.01,17.02,17.02,363,565,61
2023-02-22,09:00:57.123000,00632R,5.4059,5.4064,5.4061,5.41,5.42,5.42,710,19960,670
2023-02-22,09:00:57.123000,00878,16.9476,16.987,16.9616,17.01,17.02,17.02,423,622,31
2023-02-22,09:01:02.137000,00632R,5.4058,5.4063,5.4061,5.41,5.42,5.41,1004,22431,788
2023-02-22,09:01:02.137000,00878,16.9462,16.9846,16.959,17.01,17.02,17.02,101,426,450
2023-02-22,09:01:07.153000,00632R,5.4054,5.406,5.406,5.41,5.42,5.41,1597,22521,7
2023-02-22,09:01:07.153000,00878,16.9413,16.9846,16.9555,17.0,17.01,17.01,4155,46,182
2023-02-22,09:01:12.170000,00632R,5.4058,5.4063,5.4061,5.41,5.42,5.41,2059,22587,44
2023-02-22,09:01:12.170000,00878,16.9437,16.9864,16.9576,17.0,17.01,17.01,4199,7,78
2023-02-22,09:01:17.187000,00632R,5.4058,5.4066,5.4061,5.41,5.42,5.41,2021,22586,53
2023-02-22,09:01:17.187000,00878,16.9422,16.9821,16.9581,17.0,17.01,17.01,4237,16,99
2023-02-22,09:01:22.187000,00632R,5.4059,5.4064,5.4061,5.41,5.42,5.41,2500,22574,55
2023-02-22,09:01:22.187000,00878,16.9413,16.9769,16.9544,17.0,17.01,17.01,4290,29,87
2023-02-22,09:01:27.200000,00632R,5.4062,5.4072,5.4064,5.41,5.42,5.41,3232,22636,514
2023-02-22,09:01:27.200000,00878,16.9445,16.9799,16.9574,17.0,17.01,17.01,4357,95,70
2023-02-22,09:01:32.217000,00632R,5.4056,5.4064,5.4058,5.41,5.42,5.41,3609,22641,48
2023-02-22,09:01:32.217000,00878,16.9438,16.9797,16.9649,17.0,17.01,17.01,4454,12,98
2023-02-22,09:01:37.230000,00632R,5.4056,5.4061,5.4061,5.41,5.42,5.41,3867,23058,395
2023-02-22,09:01:37.230000,00878,16.9428,16.9781,16.9673,17.01,17.02,17.02,14,428,288
2023-02-22,09:01:42.230000,00632R,5.4059,5.4067,5.4064,5.41,5.42,5.42,4129,24462,151
2023-02-22,09:01:42.230000,00878,16.942,16.9774,16.9636,17.01,17.02,17.01,50,923,84
2023-02-22,09:01:47.230000,00632R,5.4059,5.4066,5.4064,5.41,5.42,5.41,4296,24563,70
2023-02-22,09:01:47.230000,00878,16.9412,16.9774,16.9614,17.0,17.01,17.01,4556,74,128
2023-02-22,09:01:52.247000,00632R,5.4046,5.4051,5.4051,5.41,5.42,5.41,4175,24740,143
2023-02-22,09:01:52.247000,00878,16.9431,16.9781,16.9601,17.0,17.01,17.01,4647,369,254
2023-02-22,09:01:57.247000,00632R,5.4046,5.4051,5.4051,5.4,5.41,5.41,25616,4990,4335
2023-02-22,09:01:57.247000,00878,16.9459,16.9781,16.963,17.01,17.02,17.01,29,951,106
2023-02-22,09:02:02.247000,00632R,5.4044,5.4051,5.4046,5.4,5.41,5.41,25616,4652,411
2023-02-22,09:02:02.247000,00878,16.9443,16.9788,16.964,17.0,17.01,17.01,4843,527,437
2023-02-22,09:02:07.263000,00632R,5.4041,5.4046,5.4046,5.4,5.41,5.4,25567,5008,122
2023-02-22,09:02:07.263000,00878,16.9434,16.9778,16.964,17.0,17.01,17.01,4971,340,212
2023-02-22,09:02:12.263000,00632R,5.4044,5.4052,5.4052,5.4,5.41,5.41,25654,5535,604
2023-02-22,09:02:12.263000,00878,16.9434,16.9794,16.9651,17.0,17.01,17.01,5180,524,65
2023-02-22,09:02:17.263000,00632R,5.4059,5.4064,5.4062,5.4,5.41,5.41,27261,843,758
2023-02-22,09:02:17.263000,00878,16.9455,16.9785,16.9609,17.0,17.01,17.01,5278,460,75
2023-02-22,09:02:22.277000,00632R,5.4047,5.4056,5.4052,5.4,5.41,5.41,25825,1370,115
2023-02-22,09:02:22.277000,00878,16.9429,16.9779,16.9595,17.0,17.01,17.01,5425,428,40
2023-02-22,09:02:27.293000,00632R,5.4052,5.4061,5.4054,5.4,5.41,5.41,25860,1995,281
2023-02-22,09:02:27.293000,00878,16.9429,16.9786,16.9585,17.0,17.01,17.01,5531,367,69
2023-02-22,09:02:32.293000,00632R,5.4059,5.4067,5.4067,5.4,5.41,5.41,27362,1637,441
2023-02-22,09:02:32.293000,00878,16.9412,16.978,16.9566,17.0,17.01,17.01,5702,990,79
2023-02-22,09:02:37.293000,00632R,5.4067,5.4072,5.407,5.4,5.41,5.41,27910,924,767
2023-02-22,09:02:37.293000,00878,16.9421,16.9771,16.9563,17.0,17.01,17.01,5808,939,54
2023-02-22,09:02:42.310000,00632R,5.407,5.4075,5.4073,5.4,5.41,5.41,28478,339,646
2023-02-22,09:02:42.310000,00878,16.9421,16.9763,16.958,17.0,17.01,17.01,5941,894,46
2023-02-22,09:02:47.327000,00632R,5.407,5.4075,5.4073,5.41,5.42,5.41,272,26359,356
2023-02-22,09:02:47.327000,00878,16.9429,16.9787,16.9574,17.0,17.01,17.01,6097,852,136
2023-02-22,09:02:52.340000,00632R,5.4067,5.4072,5.407,5.41,5.42,5.41,866,26864,200
2023-02-22,09:02:52.340000,00878,16.9429,16.9787,16.9595,17.0,17.01,17.01,6202,1281,84
2023-02-22,09:02:57.340000,00632R,5.4062,5.4069,5.4067,5.41,5.42,5.41,1102,26872,180
2023-02-22,09:02:57.340000,00878,16.9438,16.9787,16.9601,17.0,17.01,17.01,6263,1251,200
2023-02-22,09:03:02.357000,00632R,5.4076,5.4082,5.4076,5.41,5.42,5.42,1900,26765,129
2023-02-22,09:03:02.357000,00878,16.9417,16.9794,16.9566,17.0,17.01,17.01,6514,1074,191
2023-02-22,09:03:07.357000,00632R,5.4076,5.4085,5.408,5.41,5.42,5.41,1878,26275,638
2023-02-22,09:03:07.357000,00878,16.9433,16.9826,16.9584,17.0,17.01,17.01,6605,706,57
2023-02-22,09:03:12.357000,00632R,5.4083,5.4088,5.4086,5.41,5.42,5.42,2472,26130,215
