MDate,TradeDate,TraderId,IAccountId,CommodityId,BS,Qty,Price
2023-02-22 09:05:40,2023-02-22,K36,NV3F,00878,S,2000,17.0
2023-02-22 09:05:40,2023-02-22,K36,NV3F,00878,S,5000,17.0
2023-02-22 09:05:41,2023-02-22,K36,NV3F,00878,S,10000,17.0
2023-02-22 09:05:41,2023-02-22,K36,NV3F,00878,S,1000,17.0
2023-02-22 09:05:41,2023-02-22,K36,NV3F,00878,S,1000,17.0
2023-02-22 09:05:42,2023-02-22,K36,NV3F,00878,S,10000,17.0
2023-02-22 09:05:42,2023-02-22,K36,NV3F,00878,S,2000,17.0
2023-02-22 09:05:42,2023-02-22,K36,NV3F,00878,S,2000,17.0
2023-02-22 09:05:42,2023-02-22,K36,NV3F,00878,S,1000,17.0
2023-02-22 09:05:42,2023-02-22,K36,NV3F,00878,S,1000,17.0
2023-02-22 09:05:42,2023-02-22,K36,NV3F,00878,S,5000,17.0
2023-02-22 09:05:43,2023-02-22,K36,NV3F,00878,S,2000,17.0
2023-02-22 09:05:43,2023-02-22,K36,NV3F,00878,S,1000,17.0
2023-02-22 09:05:43,2023-02-22,K36,NV3F,00878,S,3000,17.0
2023-02-22 09:05:43,2023-02-22,K36,NV3F,00878,S,3000,17.0
2023-02-22 09:05:44,2023-02-22,K36,NV3F,00878,S,1000,17.0
2023-02-22 09:05:44,2023-02-22,K36,NV3F,00878,S,3000,17.0
2023-02-22 09:05:44,2023-02-22,K36,NV3F,00878,S,1000,17.0
2023-02-22 09:05:44,2023-02-22,K36,NV3F,00878,S,7000,17.0
2023-02-22 09:05:44,2023-02-22,K36,NV3F,00878,S,10000,17.0
2023-02-22 09:05:45,2023-02-22,K36,NV3F,00878,S,2000,17.0
2023-02-22 09:05:45,2023-02-22,K36,NV3F,00878,S,1000,17.0
2023-02-22 09:05:46,2023-02-22,K36,NV3F,00878,S,1000,17.0
2023-02-22 09:05:46,2023-02-22,K36,NV3F,00878,S,1000,17.0
2023-02-22 09:05:47,2023-02-22,K36,NV3F,00878,S,1000,17.0
2023-02-22 09:05:47,2023-02-22,K36,NV3F,00878,S,1000,17.0
2023-02-22 09:05:47,2023-02-22,K36,NV3F,00878,S,1000,17.0
2023-02-22 09:07:07,2023-02-22,K36,NV3F,00878,S,3000,16.98
2023-02-22 09:07:07,2023-02-22,K36,NV3F,00878,S,1000,16.98
2023-02-22 09:07:07,2023-02-22,K36,NV3F,00878,S,2000,16.98
2023-02-22 09:07:07,2023-02-22,K36,NV3F,00878,S,20000,16.98
2023-02-22 09:07:07,2023-02-22,K36,NV3F,00878,S,1000,16.98
2023-02-22 09:07:08,2023-02-22,K36,NV3F,00878,S,2000,16.98
2023-02-22 09:07:08,2023-02-22,K36,NV3F,00878,S,10000,16.98
2023-02-22 09:07:08,2023-02-22,K36,NV3F,00878,S,2000,16.98
2023-02-22 09:07:08,2023-02-22,K36,NV3F,00878,S,2000,16.98
2023-02-22 09:07:08,2023-02-22,K36,NV3F,00878,S,1000,16.98
2023-02-22 09:07:08,2023-02-22,K36,NV3F,00878,S,2000,16.98
2023-02-22 09:07:08,2023-02-22,K36,NV3F,00878,S,1000,16.98
2023-02-22 09:07:08,2023-02-22,K36,NV3F,00878,S,1000,16.98
2023-02-22 09:07:09,2023-02-22,K36,NV3F,00878,S,2000,16.98
2023-02-22 09:07:09,2023-02-22,K36,NV3F,00878,S,10000,16.98
2023-02-22 09:07:09,2023-02-22,K36,NV3F,00878,S,1000,16.98
2023-02-22 09:07:09,2023-02-22,K36,NV3F,00878,S,2000,16.98
2023-02-22 09:07:09,2023-02-22,K36,NV3F,00878,S,10000,16.98
2023-02-22 09:07:09,2023-02-22,K36,NV3F,00878,S,1000,16.98
2023-02-22 09:07:10,2023-02-22,K36,NV3F,00878,S,1000,16.98
2023-02-22 09:07:10,2023-02-22,K36,NV3F,00878,S,2000,16.98
2023-02-22 09:07:10,2023-02-22,K36,NV3F,00878,S,1000,16.98
2023-02-22 09:07:10,2023-02-22,K36,NV3F,00878,S,22000,16.98
2023-02-22 09:08:19,2023-02-22,K36,NV3F,00878,S,1000,16.98
2023-02-22 09:08:19,2023-02-22,K36,NV3F,00878,S,1000,16.98
2023-02-22 09:08:19,2023-02-22,K36,NV3F,00878,S,1000,16.98
2023-02-22 09:08:19,2023-02-22,K36,NV3F,00878,S,2000,16.98
2023-02-22 09:08:19,2023-02-22,K36,NV3F,00878,S,5000,16.98
2023-02-22 09:08:19,2023-02-22,K36,NV3F,00878,S,1000,16.98
2023-02-22 09:08:19,2023-02-22,K36,NV3F,00878,S,3000,16.98
2023-02-22 09:08:19,2023-02-22,K36,NV3F,00878,S,1000,16.98
2023-02-22 09:08:19,2023-02-22,K36,NV3F,00878,S,10000,16.98
2023-02-22 09:08:20,2023-02-22,K36,NV3F,00878,S,1000,16.98
2023-02-22 09:08:20,2023-02-22,K36,NV3F,00878,S,2000,16.98
2023-02-22 09:08:20,2023-02-22,K36,NV3F,00878,S,1000,16.98
2023-02-22 09:08:20,2023-02-22,K36,NV3F,00878,S,1000,16.98
2023-02-22 09:08:20,2023-02-22,K36,NV3F,00878,S,3000,16.98
2023-02-22 09:08:20,2023-02-22,K36,NV3F,00878,S,1000,16.98
2023-02-22 09:08:20,2023-02-22,K36,NV3F,00878,S,2000,16.98
2023-02-22 09:08:20,2023-02-22,K36,NV3F,00878,S,5000,16.98
2023-02-22 09:08:20,2023-02-22,K36,NV3F,00878,S,1000,16.98
2023-02-22 09:08:20,2023-02-22,K36,NV3F,00878,S,20000,16.98
2023-02-22 09:08:21,2023-02-22,K36,NV3F,00878,S,2000,16.98
2023-02-22 09:08:21,2023-02-22,K36,NV3F,00878,S,10000,16.98
2023-02-22 09:08:21,2023-02-22,K36,NV3F,00878,S,1000,16.98
2023-02-22 09:08:21,2023-02-22,K36,NV3F,00878,S,2000,16.98
2023-02-22 09:08:22,2023-02-22,K36,NV3F,00878,S,1000,16.98
2023-02-22 09:08:22,2023-02-22,K36,NV3F,00878,S,1000,16.98
2023-02-22 09:08:22,2023-02-22,K36,NV3F,00878,S,1000,16.98
2023-02-22 09:08:22,2023-02-22,K36,NV3F,00878,S,2000,16.98
2023-02-22 09:08:22,2023-02-22,K36,NV3F,00878,S,2000,16.98
2023-02-22 09:08:22,2023-02-22,K36,NV3F,00878,S,2000,16.98
2023-02-22 09:08:22,2023-02-22,K36,NV3F,00878,S,5000,16.98
2023-02-22 09:08:22,2023-02-22,K36,NV3F,00878,S,2000,16.98
